TitleAbrevated	Fulltitle
UMSCH. WISS. TECH.	UMSCHAU IN WISSENSCHAFT UND TECHNIK
UMW. AARGAU	UMWELT AARGAU
UMW. AKTUELL	UMWELT AKTUELL
UMW. PERSPEKT.	UMWELT PERSPEKTIVEN
UMWELTPSYCHOL.	UMWELTPSYCHOLOGIE
UMWELTRECHT PRAX.	UMWELTRECHT IN DER PRAXIS
UMWELTSCHUTZ SCHWEIZ	UMWELTSCHUTZ IN DER SCHWEIZ
UNASYLVA	UNASYLVA
UNION VILLES SUISSES FOCUS	UNION DES VILLES SUISSES, FOCUS
UNIPRESS	UNIPRESS
U.S. DEP. AGRIC. BULL.	UNITED STATES DEPARTMENT OF AGRICULTURE BULLETIN
U.S. DEP. AGRIC. MISC. PUBL.	UNITED STATES DEPARTMENT OF AGRICULTURE MISCELLANEOUS PUBLICATION
UNIV. ARIZ. BULL.	UNIVERSITY OF ARIZONA BULLETIN
UNSER WALD	UNSER WALD
UNTERTOGGENBURG. NEUJAHRSBL.	UNTERTOGGENBURGER NEUJAHRSBLÄTTER
URBAN ECOSYST.	URBAN ECOSYSTEMS
URBAN FOR. URBAN GREENING	URBAN FORESTRY AND URBAN GREENING
U.S. GEOL. SURV. PROF. PAP.	U.S. GEOLOGICAL SURVEY PROFESSIONAL PAPER
VADOSE ZONE J.	VADOSE ZONE JOURNAL
VDI BER.	VDI BERICHTE
VEG. HIST. ARCHAEOBOT.	VEGETATION HISTORY AND ARCHAEOBOTANY
VEGETATIO	VEGETATIO
VERH. DTSCH. ZOOL. GES.	VERHANDLUNGEN DER DEUTSCHEN ZOOLOGISCHEN GESELLSCHAFT
VERH. GES. ÖKOL.	VERHANDLUNGEN DER GESELLSCHAFT FÜR ÖKOLOGIE
VERH. INT. VER. THEORET. ANGEW. LIMNOL.	VERHANDLUNGEN DER INTERNATIONALEN VEREINIGUNG FÜR THEORETISCHE UND ANGEWANDTE LIMNOLOGIE
VERH. NAT.FORSCH. GES. BASEL	VERHANDLUNGEN DER NATURFORSCHENDEN GESELLSCHAFT IN BASEL
VERH. SCHWEIZ. NAT.FORSCH. GES.	VERHANDLUNGEN DER SCHWEIZERISCHEN NATURFORSCHENDEN GESELLSCHAFT
VERH. ZOOL.-BOT. GES. ÖSTERR.	VERHANDLUNGEN DER ZOOLOGISCH-BOTANISCHEN GESELLSCHAFT IN ÖSTERREICH
VERMESS. PHOTOGRAMM. KULT.TECH.	VERMESSUNG, PHOTOGRAMMETRIE, KULTURTECHNIK
VERÖFF. LANDESSTELLE NAT.SCHUTZ LANDSCH.PFL. BADEN-WÜRTT.	VERÖFFENTLICHUNGEN DER LANDESSTELLE FÜR NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN BADEN-WÜRTTEMBERG
VERÖFF. GEOBOT. INST. EIDGENÖSS. TECH. HOCHSCH., STIFT. RÜBEL ZÜR.	VERÖFFENTLICHUNGEN DES GEOBOTANISCHEN INSTITUTES DER EIDG. TECHNISCHEN HOCHSCHULE, STIFTUNG RÜBEL IN ZÜRICH
VERÖFF. NIEDERSÄCHS. INST. LANDESKD. LANDESENTWICKL. UNIV. GÖTT.	VERÖFFENTLICHUNGEN DES NIEDERSÄCHSISCHEN INSTITUTS FÜR LANDESKUNDE UND LANDESENTWICKLUNG AN DER UNIVERSITÄT GÖTTINGEN
VERÖFF. NAT.SCHUTZ LANDSCH.PFL. BADEN-WÜRTT.	VERÖFFENTLICHUNGEN FÜR NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN BADEN-WÜRTTEMBERG
VERÖFF. NAT.KD.MUS. LEIPZ.	VERÖFFENTLICHUNGEN NATURKUNDEMUSEUM LEIPZIG
VERÖFF. NAT.-MUS. LUZERN	VERÖFFENTLICHUNGEN NATUR-MUSEUM LUZERN
VERS.ANST. WASSERBAU HYDROL. GLAZIOL.	VERSUCHSANSTALT FÜR WASSERBAU, HYDROLOGIE UND GLAZIOLOGIE
VESPÈRE	VESPÈRE
VIERTELJAHRSSCHR. NAT.FORSCH. GES. ZÜR.	VIERTELJAHRSSCHRIFT DER NATURFORSCHENDEN GESELLSCHAFT IN ZÜRICH
VISUAL COMPUT.	VISUAL COMPUTER
VITIS	VITIS
VÖGEL HEIM.	VÖGEL DER HEIMAT
VOGELKDL. BER. NIEDERSACHS.	VOGELKUNDLICHE BERICHTE AUS NIEDERSACHSEN
VOGELKDL. BER. KÜSTE BINNENLAND	VOGELKUNDLICHE BERICHTE ZWISCHEN KÜSTE UND BINNENLAND
VOGELWARTE	VOGELWARTE
VOGELWELT	VOGELWELT
VOLKSWIRTSCHAFT	VOLKSWIRTSCHAFT
VORARLBERGER NAT.SCHAU	VORARLBERGER NATURSCHAU
WADER STUDY GROUP BULL.	WADER STUDY GROUP BULLETIN
WALD	WALD
WALDARBEIT	WALDARBEIT
WALD HOLZ	WALD UND HOLZ
WALD- HOLZWIRTSCH.	WALD- UND HOLZWIRTSCHAFT
WASSER ENERG. LUFT	WASSER, ENERGIE, LUFT
WASSER BODEN	WASSER UND BODEN
WASSER- ENERG.WIRTSCH.	WASSER- UND ENERGIEWIRTSCHAFT
WATER AIR SOIL POLLUT.	WATER, AIR AND SOIL POLLUTION
WATER ALTERN.	WATER ALTERNATIVES
WATER POLICY	WATER POLICY
WATER	WATER
WATER RES.	WATER RESEARCH
WATER RESOUR. BULL.	WATER RESOURCES BULLETIN
WATER RESOUR. RES.	WATER RESOURCES RESEARCH
WATER SCI. TECHNOL.	WATER SCIENCE AND TECHNOLOGY
WATER SERV.	WATER SERVICES
WEED RES.	WEED RESEARCH
WEST. J. APPL. FOR.	WESTERN JOURNAL OF APPLIED FORESTRY
WETLANDS	WETLANDS
WETTER LEBEN	WETTER UND LEBEN
WHAT'S NEW FOR. RES.	WHAT'S NEW IN FOREST RESEARCH
WIEN. SCHR. GEOGR. KARTOGR.	WIENER SCHRIFTEN ZUR GEOGRAPHIE UND KARTOGRAPHIE
WILDBACH- LAWINENVERBAU	WILDBACH- UND LAWINENVERBAU
WILDERNESS ENVIRON. MED.	WILDERNESS AND ENVIRONMENTAL MEDICINE
WILDFIRE	WILDFIRE
WILDL. BIOL.	WILDLIFE BIOLOGY
WILDL. MONOGR.	WILDLIFE MONOGRAPHS
WILDL. RES.	WILDLIFE RESEARCH
WILDL. SOC. BULL.	WILDLIFE SOCIETY BULLETIN
WILEY INTERDISCIP. REV. WATER	WILEY INTERDISCIPLINARY REVIEWS: WATER
WILSON BULL.	WILSON BULLETIN
WINDAHLIA	WINDAHLIA
WIND ENERGY	WIND ENERGY
WINTERBER. EIDGENÖSS. INST. SCHNEE- LAWINENFORSCH.	WINTERBERICHTE DES EIDG. INSTITUTES FÜR SCHNEE- UND LAWINENFORSCHUNG
WISS. ALP.VER.HEFT	WISSENSCHAFTLICHE ALPENVEREINSHEFTE
WISS. Z. ERNST-MORITZ-ARNDT-UNIV. GREIFSWALD	WISSENSCHAFTLICHE ZEITSCHRIFT DER ERNST-MORITZ-ARNDT-UNIVERSITÄT GREIFSWALD
WISS. Z. TECH. UNIV. DRESD., SEP.R. 5	WISSENSCHAFTLICHE ZEITSCHRIFT DER TECHNISCHEN UNIVERSITÄT DRESDEN, SEPARATREIHE 5
WIT TRANS. ECOL. ENVIRON.	WIT TRANSACTIONS ON ECOLOGY AND THE ENVIRONMENT
WIT TRANS. ENG. SCI.	WIT TRANSACTIONS ON ENGINEERING SCIENCES
WOOD FIBER SCI.	WOOD AND FIBER SCIENCE
WOOD RES.	WOOD RESEARCH
WOOD SCI. TECHNOL.	WOOD SCIENCE AND TECHNOLOGY
WORLD ARCHEOL.	WORLD ARCHAEOLOGY
WORLD LEIS.	WORLD LEISURE
WORLD RESOUR. REV.	WORLD RESOURCE REVIEW
WORLD WOOD	WORLD WOOD
WUHAN UNIV. J. NAT. SCI.	WUHAN UNIVERSITY JOURNAL OF NATURAL SCIENCES
YEARB. SOCIOECON. AGRIC.	YEARBOOK OF SOCIOECONOMICS IN AGRICULTURE
YEARB. ESTON. NAT. SOC.	YEARBOOK OF THE ESTONIAN NATURALIST SOCIETY
YEARB. R. VET. AGRIC. COLL. CPH.	YEARBOOK, ROYAL VETERINARY AND AGRICULTURAL COLLEGE, COPENHAGEN
ZEISS - INF.	ZEISS - INFORMATIONEN
Z. ARB.GEM. ÖSTERR. ENTOMOL.	ZEITSCHRIFT DER ARBEITSGEMEINSCHAFT ÖSTERREICHISCHER ENTOMOLOGEN
Z. DTSCH. GES. GEOWISS.	ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FÜR GEOWISSENSCHAFTEN
Z. AGRARGESCH. AGRARSOZIOL.	ZEITSCHRIFT FÜR AGRARGESCHICHTE UND AGRARSOZIOLOGIE
Z. ANGEW. ENTOMOL.	ZEITSCHRIFT FÜR ANGEWANDTE ENTOMOLOGIE
Z. FORST- JAGDWES.	ZEITSCHRIFT FÜR DAS FORST- UND JAGDWESEN
Z. FORSTGENET. FORSTPFLANZENZÜCHT.	ZEITSCHRIFT FÜR FORSTGENETIK UND FORSTPFLANZENZÜCHTUNG
Z. GEOMORPHOL.	ZEITSCHRIFT FÜR GEOMORPHOLOGIE
Z. GLETSCH.KD. GLAZIALGEOL.	ZEITSCHRIFT FÜR GLETSCHERKUNDE UND GLAZIALGEOLOGIE
Z. JAGDWISS.	ZEITSCHRIFT FÜR JAGDWISSENSCHAFT
Z. KMU ENTREP.	ZEITSCHRIFT FÜR KMU UND ENTREPRENEURSHIP
Z. KULT.TECH. FLURBEREINIG.	ZEITSCHRIFT FÜR KULTURTECHNIK UND FLURBEREINIGUNG
Z. MYKOL.	ZEITSCHRIFT FÜR MYKOLOGIE
Z. NAT.FORSCH.	ZEITSCHRIFT FÜR NATURFORSCHUNG
Z. ÖKOL. NAT.SCHUTZ	ZEITSCHRIFT FÜR ÖKOLOGIE UND NATURSCHUTZ
Z. PFLANZENERNÄHR. BODENKD.	ZEITSCHRIFT FÜR PFLANZENERNÄHRUNG UND BODENKUNDE
Z. PFLANZENKRANKH. PFLANZENSCHUTZ	ZEITSCHRIFT FÜR PFLANZENKRANKHEITEN UND PFLANZENSCHUTZ
Z. PHOTOGRAMM. FERNERKUND.	ZEITSCHRIFT FÜR PHOTOGRAMMETRIE UND FERNERKUNDUNG
Z. PHYTOTHER.	ZEITSCHRIFT FÜR PHYTOTHERAPIE
Z. PILZKD.	ZEITSCHRIFT FÜR PILZKUNDE
Z. SÄUGETIERKD.	ZEITSCHRIFT FÜR SÄUGETIERKUNDE
Z. SOZIOL.	ZEITSCHRIFT FÜR SOZIOLOGIE
Z. TIERPSYCHOL.	ZEITSCHRIFT FÜR TIERPSYCHOLOGIE
Z. UMWELTPOLIT. UMWELTR.	ZEITSCHRIFT FÜR UMWELTPOLITIK & UMWELTRECHT
Z. VGL. PHYSIOL.	ZEITSCHRIFT FÜR VERGLEICHENDE PHYSIOLOGIE
Z. WELTFORSTWIRTSCH.	ZEITSCHRIFT FÜR WELTFORSTWIRTSCHAFT
Z. WIRTSCH.GEOGR.	ZEITSCHRIFT FÜR WIRTSCHAFTSGEOGRAPHIE
Z. WISS. ZOOL.	ZEITSCHRIFT FÜR WISSENSCHAFTLICHE ZOOLOGIE
Z. ZELLFORSCH.	ZEITSCHRIFT FÜR ZELLFORSCHUNG
ZOOKEYS	ZOOKEYS
ZOOL. ANZ.	ZOOLOGISCHER ANZEIGER
ZOOL. GART. N.F.	ZOOLOGISCHER GARTEN N.F.
ZOOL. JAHRB. ABT. SYST.	ZOOLOGISCHES JAHRBUCH, ABTEILUNG FÜR SYSTEMATIK
ZOOMORPHOLOGY	ZOOMORPHOLOGY
ZÜCHTER	ZÜCHTER
ZUGER NACHR.	ZUGER NACHRICHTEN
ZUGER NEUJAHRSBL.	ZUGER NEUJAHRSBLATT
ZÜR. GEOGR. SCHR.	ZÜRCHER GEOGRAPHISCHE SCHRIFTEN
ZÜR. WALD	ZÜRCHER WALD
